date,time,TAX_INCOME,TAX_INCOME_SAME,TAX_INCOME_SEQUENTIAL
2026-06-01,2026年第1-2季度,97865,5.3,0.01762705
2026-03-01,2026年第1季度,48505,2.2,0.10997963
2025-12-01,2025年第1-4季度,176363,0.8,0.09937357
2025-09-01,2025年第1-3季度,132664,0.7,-0.12572308
2025-06-01,2025年第1-2季度,92915,-1.2,-0.04183351
2025-03-01,2025年第1季度,47450,-3.5,0.09693229
2024-12-01,2024年第1-4季度,174972,-3.4,0.14938222
2024-09-01,2024年第1-3季度,131715,-5.3,-0.16195333
2024-06-01,2024年第1-2季度,94080,-5.6,-0.08671602
2024-03-01,2024年第1季度,49172,-4.9,0.17009328
2023-12-01,2023年第1-4季度,181129,8.7,0.06540919
2023-09-01,2023年第1-3季度,139105,11.9,-0.17746173
2023-06-01,2023年第1-2季度,99661,16.5,-0.07258205
2023-03-01,2023年第1季度,51707,-1.4,0.22386329
2022-12-01,2022年第1-4季度,166614,-3.5,0.08886369
2022-09-01,2022年第1-3季度,124365,-11.6,0.17181082
2022-06-01,2022年第1-2季度,85564,-14.8,-0.36871807
2022-03-01,2022年第1季度,52452,7.7,0.63764089
2021-12-01,2021年第1-4季度,172731,11.9,-0.20407048
2021-09-01,2021年第1-3季度,140702,18.4,-0.22221578
2021-06-01,2021年第1-2季度,100461,22.5,0.06188043
2021-03-01,2021年第1季度,48723,24.8,0.37503528
2020-12-01,2020年第1-4季度,154310,-2.3,-0.03936453
2020-09-01,2020年第1-3季度,118876,-6.4,-0.14140732
2020-06-01,2020年第1-2季度,81990,-11.3,0.1007456
2020-03-01,2020年第1季度,39029,-16.4,0.25810715
2019-12-01,2019年第1-4季度,157992,1,-0.10200892
2019-09-01,2019年第1-3季度,126970,-0.4,-0.24436765
2019-06-01,2019年第1-2季度,92424,0.9,-0.0211536
2019-03-01,2019年第1季度,46706,5.4,0.61528618
2018-12-01,2018年第1-4季度,156401,8.3,-0.19360236
2018-09-01,2018年第1-3季度,127486,12.7,-0.24187581
2018-06-01,2018年第1-2季度,91629,14.4,0.06688171
2018-03-01,2018年第1季度,44332,17.3,0.41821555
2017-12-01,2017年第1-4季度,144360,10.7,-0.05353196
2017-09-01,2017年第1-3季度,113101,12.1,-0.218869
2017-06-01,2017年第1-2季度,80074,10.9,0.11875215
2017-03-01,2017年第1季度,37793,14.7,0.28229227
2016-12-01,2016年第1-4季度,130354,4.3,0.02890557
2016-09-01,2016年第1-3季度,100881,6.6,-0.2707856
2016-06-01,2016年第1-2季度,72236,8.6,0.19202525
2016-03-01,2016年第1季度,32954,7.8,0.08900971
2015-12-01,2015年第1-4季度,124892,4.8,0.07593419
2015-09-01,2015年第1-3季度,94631.48,4.3,-0.21752093
2015-06-01,2015年第1-2季度,66506.6,3.5,0.17602811
2015-03-01,2015年第1季度,30563.3,1.2,0.07379695
2014-12-01,2014年第1-4季度,119158,7.8,0.07705922
2014-09-01,2014年第1-3季度,90695.17,7.4,-0.22459729
2014-06-01,2014年第1-2季度,64268.74,8.5,0.1289619
2014-03-01,2014年第1季度,30187.83,10.17777891,0.15729183
2013-12-01,2013年第1-4季度,110497,9.8,0.03711071
2013-09-01,2013年第1-3季度,84412.11,9.04537239,-0.21059677
2013-06-01,2013年第1-2季度,59260.61,7.8807,0.16285913
2013-03-01,2013年第1季度,27399.2,6,0.18146851
2012-12-01,2012年第1-4季度,100600.88,12.1,0.03169035
2012-09-01,2012年第1-3季度,77410.08,8.6,-0.2268491
2012-06-01,2012年第1-2季度,54931.63,9.8,0.12437287
2012-03-01,2012年第1季度,25857.81,10.3,0.40317059
2011-12-01,2011年第1-4季度,89720.31,22.6,-0.13335465
2011-09-01,2011年第1-3季度,71292.18,27.4045,-0.20029764
2011-06-01,2011年第1-2季度,50028.43,29.6,0.1344234
2011-03-01,2011年第1季度,23438.85,32.4,0.35919704
2010-12-01,2010年第1-4季度,73202,23,-0.00583483
2010-09-01,2010年第1-3季度,55957.37,24.2,-0.17041195
2010-06-01,2010年第1-2季度,38611.53,30.8,0.18112814
2010-03-01,2010年第1季度,17702.55,35.9,0.22390164
2009-12-01,2009年第1-4季度,59521.59,9.8,-0.06848885
2009-09-01,2009年第1-3季度,45057.56,2.2,-0.05931
2009-06-01,2009年第1-2季度,29530.07,-6,0.26743108
2009-03-01,2009年第1季度,13023.58,-10.3,0.28555959
2008-12-01,2008年第1-4季度,54223.79,18.8,-0.20025467
2008-09-01,2008年第1-3季度,44093.12,26.1,-0.2507206
2008-06-01,2008年第1-2季度,31425.75,33.5,0.16435555
2008-03-01,2008年第1季度,14519.68,35.5,0.36360375
2007-12-01,2007年第1-4季度,45621.97,,-0.06915905
2007-09-01,2007年第1-3季度,34973.95,32.2,-0.10752691
2007-06-01,2007年第1-2季度,23534.81,29.5,0.19593169
2007-03-01,2007年第1季度,10717.46,26.3,
2006-09-01,2006年第1-3季度,26927.8,23.2,-0.14357994
2006-06-01,2006年第1-2季度,18484.8,22,0.14283727
2006-03-01,2006年第1季度,8626.32,19,
2005-09-01,2005年第1-3季度,21855.35,15.9,-0.15124858
2005-06-01,2005年第1-2季度,15149.73,13.4,0.08986007
2005-03-01,2005年第1季度,7249.16,10.7,
