date,rate_type,rate,policy_regime
1991-04-21,RATE_1,8.64,1991-2013 贷款基准利率体系
1991-04-21,RATE_2,9.72,1991-2013 贷款基准利率体系
1993-05-15,RATE_1,9.36,1991-2013 贷款基准利率体系
1993-05-15,RATE_2,12.24,1991-2013 贷款基准利率体系
1993-07-11,RATE_1,10.98,1991-2013 贷款基准利率体系
1993-07-11,RATE_2,14.04,1991-2013 贷款基准利率体系
1995-01-01,RATE_2,14.76,1991-2013 贷款基准利率体系
1995-07-01,RATE_1,12.06,1991-2013 贷款基准利率体系
1995-07-01,RATE_2,15.3,1991-2013 贷款基准利率体系
1996-05-01,RATE_1,10.98,1991-2013 贷款基准利率体系
1996-05-01,RATE_2,15.12,1991-2013 贷款基准利率体系
1996-08-23,RATE_1,10.08,1991-2013 贷款基准利率体系
1996-08-23,RATE_2,12.42,1991-2013 贷款基准利率体系
1997-10-23,RATE_1,8.64,1991-2013 贷款基准利率体系
1997-10-23,RATE_2,10.53,1991-2013 贷款基准利率体系
1998-03-25,RATE_1,7.92,1991-2013 贷款基准利率体系
1998-03-25,RATE_2,10.35,1991-2013 贷款基准利率体系
1998-07-01,RATE_1,6.93,1991-2013 贷款基准利率体系
1998-07-01,RATE_2,8.01,1991-2013 贷款基准利率体系
1998-12-07,RATE_1,6.39,1991-2013 贷款基准利率体系
1998-12-07,RATE_2,7.56,1991-2013 贷款基准利率体系
1999-06-10,RATE_1,5.85,1991-2013 贷款基准利率体系
1999-06-10,RATE_2,6.21,1991-2013 贷款基准利率体系
2002-02-21,RATE_1,5.31,1991-2013 贷款基准利率体系
2002-02-21,RATE_2,5.76,1991-2013 贷款基准利率体系
2004-10-29,RATE_1,5.58,1991-2013 贷款基准利率体系
2004-10-29,RATE_2,6.12,1991-2013 贷款基准利率体系
2006-04-28,RATE_1,5.85,1991-2013 贷款基准利率体系
2006-04-28,RATE_2,6.39,1991-2013 贷款基准利率体系
2006-08-19,RATE_1,6.12,1991-2013 贷款基准利率体系
2006-08-19,RATE_2,6.84,1991-2013 贷款基准利率体系
2007-03-18,RATE_1,6.39,1991-2013 贷款基准利率体系
2007-03-18,RATE_2,7.11,1991-2013 贷款基准利率体系
2007-05-19,RATE_1,6.57,1991-2013 贷款基准利率体系
2007-05-19,RATE_2,7.2,1991-2013 贷款基准利率体系
2007-07-21,RATE_1,6.84,1991-2013 贷款基准利率体系
2007-07-21,RATE_2,7.38,1991-2013 贷款基准利率体系
2007-08-22,RATE_1,7.02,1991-2013 贷款基准利率体系
2007-08-22,RATE_2,7.56,1991-2013 贷款基准利率体系
2007-09-15,RATE_1,7.29,1991-2013 贷款基准利率体系
2007-09-15,RATE_2,7.83,1991-2013 贷款基准利率体系
2007-12-21,RATE_1,7.47,1991-2013 贷款基准利率体系
2008-09-16,RATE_1,7.2,1991-2013 贷款基准利率体系
2008-09-16,RATE_2,7.74,1991-2013 贷款基准利率体系
2008-10-09,RATE_1,6.93,1991-2013 贷款基准利率体系
2008-10-09,RATE_2,7.47,1991-2013 贷款基准利率体系
2008-10-30,RATE_1,6.66,1991-2013 贷款基准利率体系
2008-10-30,RATE_2,7.2,1991-2013 贷款基准利率体系
2008-11-27,RATE_1,5.58,1991-2013 贷款基准利率体系
2008-11-27,RATE_2,6.12,1991-2013 贷款基准利率体系
2008-12-23,RATE_1,5.31,1991-2013 贷款基准利率体系
2008-12-23,RATE_2,5.94,1991-2013 贷款基准利率体系
2010-10-20,RATE_1,5.56,1991-2013 贷款基准利率体系
2010-10-20,RATE_2,6.14,1991-2013 贷款基准利率体系
