参考期(reference_period),工业增加值同比(%),工业增加值累计同比(%),release_date_original(不可靠),release_date(保守时滞),release_date_imputed
2008-02,15.4,15.4,2008-02-01,2008-03-20,1
2008-03,17.8,16.4,2008-03-01,2008-04-20,1
2008-04,15.7,16.3,2008-04-01,2008-05-20,1
2008-05,16.0,16.3,2008-05-01,2008-06-20,1
2008-06,16.0,16.3,2008-06-01,2008-07-20,1
2008-07,14.7,16.1,2008-07-01,2008-08-20,1
2008-08,12.8,15.7,2008-08-01,2008-09-20,1
2008-09,11.4,15.2,2008-09-01,2008-10-20,1
2008-10,8.2,14.4,2008-10-01,2008-11-20,1
2008-11,5.4,13.7,2008-11-01,2008-12-20,1
2008-12,5.7,12.9,2008-12-01,2009-01-20,1
2009-02,11.0,3.8,2009-02-01,2009-03-20,1
2009-03,8.3,5.1,2009-03-01,2009-04-20,1
2009-04,7.3,5.5,2009-04-01,2009-05-20,1
2009-05,8.9,6.3,2009-05-01,2009-06-20,1
2009-06,10.7,7.0,2009-06-01,2009-07-20,1
2009-07,10.8,7.5,2009-07-01,2009-08-20,1
2009-08,12.3,8.1,2009-08-01,2009-09-20,1
2009-09,13.9,8.7,2009-09-01,2009-10-20,1
2009-10,16.1,9.4,2009-10-01,2009-11-20,1
2009-11,19.2,10.3,2009-11-01,2009-12-20,1
2009-12,18.5,11.0,2009-12-01,2010-01-20,1
2010-02,12.8,20.7,2010-02-01,2010-03-20,1
2010-03,18.1,19.6,2010-03-01,2010-04-20,1
2010-04,17.8,19.1,2010-04-01,2010-05-20,1
2010-05,16.5,18.5,2010-05-01,2010-06-20,1
2010-06,13.7,17.6,2010-06-01,2010-07-20,1
2010-07,13.4,17.0,2010-07-01,2010-08-20,1
2010-08,13.9,16.6,2010-08-01,2010-09-20,1
2010-09,13.3,16.3,2010-09-01,2010-10-20,1
2010-10,13.1,16.1,2010-10-01,2010-11-20,1
2010-11,13.3,15.8,2010-11-01,2010-12-20,1
2010-12,13.5,15.7,2010-12-01,2011-01-20,1
2011-02,14.9,14.1,2011-02-01,2011-03-20,1
2011-03,14.8,14.4,2011-03-01,2011-04-20,1
2011-04,13.4,14.2,2011-04-01,2011-05-20,1
2011-05,13.3,14.0,2011-05-01,2011-06-20,1
2011-06,15.1,14.3,2011-06-01,2011-07-20,1
2011-07,14.0,14.3,2011-07-01,2011-08-20,1
2011-08,13.5,14.2,2011-08-01,2011-09-20,1
2011-09,13.8,14.2,2011-09-01,2011-10-20,1
2011-10,13.2,14.1,2011-10-01,2011-11-20,1
2011-11,12.4,14.0,2011-11-01,2011-12-20,1
2011-12,12.8,13.9,2011-12-01,2012-01-20,1
2012-02,21.3,11.4,2012-02-01,2012-03-20,1
2012-03,11.9,11.6,2012-03-01,2012-04-20,1
