date,reference_month,core_cpi_yoy_pct,core_cpi_prev_year_100
2021-01-01,2021-01,-0.3,99.7
2021-02-01,2021-02,0.0,100.0
2021-03-01,2021-03,0.3,100.3
2021-04-01,2021-04,0.7,100.7
2021-05-01,2021-05,0.9,100.9
2021-06-01,2021-06,0.9,100.9
2021-07-01,2021-07,1.3,101.3
2021-08-01,2021-08,1.2,101.2
2021-09-01,2021-09,1.2,101.2
2021-10-01,2021-10,1.3,101.3
2021-11-01,2021-11,1.2,101.2
2021-12-01,2021-12,1.2,101.2
2022-01-01,2022-01,1.2,101.2
2022-02-01,2022-02,1.1,101.1
2022-03-01,2022-03,1.1,101.1
2022-04-01,2022-04,0.9,100.9
2022-05-01,2022-05,0.9,100.9
2022-06-01,2022-06,1.0,101.0
2022-07-01,2022-07,0.8,100.8
2022-08-01,2022-08,0.8,100.8
2022-09-01,2022-09,0.6,100.6
2022-10-01,2022-10,0.6,100.6
2022-11-01,2022-11,0.6,100.6
2022-12-01,2022-12,0.7,100.7
2023-01-01,2023-01,1.0,101.0
2023-02-01,2023-02,0.6,100.6
2023-03-01,2023-03,0.7,100.7
2023-04-01,2023-04,0.7,100.7
2023-05-01,2023-05,0.6,100.6
2023-06-01,2023-06,0.4,100.4
2023-07-01,2023-07,0.8,100.8
2023-08-01,2023-08,0.8,100.8
2023-09-01,2023-09,0.8,100.8
2023-10-01,2023-10,0.6,100.6
2023-11-01,2023-11,0.6,100.6
2023-12-01,2023-12,0.6,100.6
2024-01-01,2024-01,0.4,100.4
2024-02-01,2024-02,1.2,101.2
2024-03-01,2024-03,0.6,100.6
2024-04-01,2024-04,0.7,100.7
2024-05-01,2024-05,0.6,100.6
2024-06-01,2024-06,0.6,100.6
2024-07-01,2024-07,0.4,100.4
2024-08-01,2024-08,0.3,100.3
2024-09-01,2024-09,0.1,100.1
2024-10-01,2024-10,0.2,100.2
2024-11-01,2024-11,0.3,100.3
2024-12-01,2024-12,0.4,100.4
2025-01-01,2025-01,0.6,100.6
2025-02-01,2025-02,-0.1,99.9
2025-03-01,2025-03,0.5,100.5
2025-04-01,2025-04,0.5,100.5
2025-05-01,2025-05,0.6,100.6
2025-06-01,2025-06,0.7,100.7
2025-07-01,2025-07,0.8,100.8
2025-08-01,2025-08,0.9,100.9
2025-09-01,2025-09,1.0,101.0
2025-10-01,2025-10,1.2,101.2
2025-11-01,2025-11,1.2,101.2
2025-12-01,2025-12,1.2,101.2
2026-01-01,2026-01,0.8,100.8
2026-02-01,2026-02,1.8,101.8
2026-03-01,2026-03,1.1,101.1
2026-04-01,2026-04,1.2,101.2
2026-05-01,2026-05,1.1,101.1
2026-06-01,2026-06,1.0,101.0
2026-07-01,2026-07,0.9,100.9
