月份,当月(亿元),同比增长,环比增长,累计(亿元),date
2008年01月份,1437.69,-0.7214,-0.5989,402489.07,2008-01-01
2008年02月份,13370.18,1.527,8.3,415859.25,2008-02-01
2008年03月份,10737.68,0.2585,-0.1969,426596.93,2008-03-01
2008年04月份,7180.81,0.6912,-0.3313,433777.74,2008-04-01
2008年05月份,8763.12,3.71,0.2204,442540.86,2008-05-01
2008年06月份,7686.63,-0.1422,-0.1228,450227.49,2008-06-01
2008年07月份,5028.96,3.266,-0.3458,455256.45,2008-07-01
2008年08月份,6831.03,0.056,0.3583,462087.48,2008-08-01
2008年09月份,4729.13,-0.0952,-0.3077,466816.61,2008-09-01
2008年10月份,3645.74,1.838,-0.2291,470462.35,2008-10-01
2008年11月份,3810.09,-0.4457,0.0451,474272.44,2008-11-01
2008年12月份,4171.77,0.1638,0.0949,478444.21,2008-12-01
2009年01月份,16274.86,10.32,2.901,494719.07,2009-01-01
2009年02月份,16851.85,0.2604,0.0355,511570.92,2009-02-01
2009年03月份,24738.57,1.304,0.468,536309.48,2009-03-01
2009年04月份,10567.99,0.4717,-0.5728,546877.47,2009-04-01
2009年05月份,13498.57,0.5404,0.2773,560376.04,2009-05-01
2009年06月份,20131.11,1.619,0.4914,580507.15,2009-06-01
2009年07月份,4057.93,-0.1931,-0.7984,584565.08,2009-07-01
2009年08月份,3479.93,-0.4906,-0.1424,588045.01,2009-08-01
2009年09月份,9821.91,1.077,1.822,597866.92,2009-09-01
2009年10月份,2921.46,-0.1987,-0.7026,600788.38,2009-10-01
2009年11月份,5922.94,0.5545,1.027,606711.32,2009-11-01
2009年12月份,5295.03,0.2693,-0.106,612006.35,2009-12-01
2010年01月份,15159.52,-0.0685,1.863,627165.87,2010-01-01
2010年02月份,9729.22,-0.4227,-0.3582,636895.08,2010-02-01
2010年03月份,15759.54,-0.363,0.6198,652654.62,2010-03-01
2010年04月份,11209.85,0.0607,-0.2887,663864.47,2010-04-01
2010年05月份,10716.1,-0.2061,-0.044,674580.57,2010-05-01
2010年06月份,13959.38,-0.3066,0.3027,688539.95,2010-06-01
2010年07月份,1685.76,-0.5846,-0.8792,690225.71,2010-07-01
2010年08月份,11234.19,2.228,5.664,701459.9,2010-08-01
2010年09月份,14964.09,0.5235,0.332,716423.99,2010-09-01
2010年10月份,1968.29,-0.3263,-0.8685,718392.28,2010-10-01
2010年11月份,5888.37,-0.0058,1.992,724280.65,2010-11-01
2010年12月份,9101.38,0.7189,0.5457,733382.03,2010-12-01
2011年01月份,-5726.68,-1.378,-1.629,727655.35,2011-01-01
2011年02月份,13390.75,0.3763,3.338,741046.1,2011-02-01
2011年03月份,27323.97,0.7338,1.041,768370.08,2011-03-01
2011年04月份,3361.06,-0.7002,-0.877,771731.14,2011-04-01
2011年05月份,11114.68,0.0372,2.307,782845.82,2011-05-01
2011年06月份,20180.8,0.4457,0.8157,803026.61,2011-06-01
2011年07月份,-7334.85,-5.351,-1.363,795691.76,2011-07-01
2011年08月份,7462.81,-0.3357,2.017,803154.57,2011-08-01
2011年09月份,7192.25,-0.5194,-0.0363,810346.82,2011-09-01
2011年10月份,-1855.93,-1.943,-1.258,808490.89,2011-10-01
2011年11月份,3557.2,-0.3959,2.917,812048.09,2011-11-01
