date,reference_month,fai_sa_mom_pct,source_release_period,revision_status,verification_status,pit_use_status,source_url
2021-01-01,2021-01,0.20,2021-12 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901339.html
2021-02-01,2021-02,0.80,2022-01/02 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901404.html
2021-03-01,2021-03,1.05,2022-03 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901429.html
2021-04-01,2021-04,3.16,2022-04 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901462.html
2021-05-01,2021-05,0.24,2022-05 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901488.html
2021-06-01,2021-06,0.24,2022-06 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901515.html
2021-07-01,2021-07,0.32,2022-07 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202208/t20220815_1887363.html
2021-08-01,2021-08,1.16,2022-08 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202209/t20220916_1888345.html
2021-09-01,2021-09,0.86,2022-09 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901617.html
2021-10-01,2021-10,1.03,2022-10 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901653.html
2021-11-01,2021-11,1.74,2022-11 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901680.html
2021-12-01,2021-12,-1.17,2022-12 release,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901711.html
