月份,期间类型,标的证券数量(只),融资买入金额(亿),融券卖出金额(亿),融资融券交易金额(亿),融资余额(亿),融券余额(亿),余额合计(亿),证券公司家数,营业部数量,期末账户数(户),本期新开账户数(户),担保物股票市值(亿),担保物债券基金(亿),担保物小计(亿),担保资金(亿),担保物合计(亿),平均担保比例(%)
2010-FY,annual,90.0,700.88,12.77,713.65,127.6377168878,0.1101205317,127.7478374195,25.0,1223.0,42083.0,42211.0,425.317881844401,2.6927497823,428.0106316267,9.35,437.36,304.0
2011-FY,annual,285.0,2975.63,273.87,3249.5,376.4079024844,6.5915774583,382.9994799427,25.0,2156.0,348610.0,309421.0,1125.2297259135,9.825678703999984,1135.0554046175,44.8054621774,1179.8608667949,260.66
2012-01,monthly,285.0,268.83237888,64.11657728,332.94895616,350.546944,5.17,355.716944,25.0,2164.0,360633.0,12331.0,1187.2524,10.5356,1197.788,59.7,1257.5,285.8341
2012-02,monthly,285.0,548.58006528,92.93756416,641.51762944,398.14254592,10.35556608,408.498112,25.0,2182.0,384174.0,24095.0,1389.0629,11.9265,1400.9894,73.6,1474.6,346.8382
2012-03,monthly,285.0,656.76914688,104.91387904,761.68302592,459.38835456,8.56787328,467.95622784,25.0,2202.0,429873.0,46371.0,1413.4958,11.5855,1425.0812999999998,70.7,1495.8,271.3635
2012-04,monthly,285.0,480.34840576,96.22964224,576.578048,474.26875392,11.31563008,485.584384,25.0,2233.0,456055.0,26725.0,1578.4904,13.4656,1592.0,69.4,1661.4,289.6454
2012-05,monthly,285.0,706.11828736,117.7148416,823.83312896,557.85152512,12.7429696,570.59449472,25.0,2256.0,508264.0,52936.0,1763.1105,16.1334,1779.2439,74.6,1853.9,281.1604
2012-06,monthly,287.0,494.2086144,107.02763008,601.23624448,597.03451648,11.94415744,608.97867392,49.0,2703.0,581382.0,73837.0,1756.939897,20.15984,1777.099737,71.6252308986,1848.7249677562,264.4801
2012-07,monthly,287.0,521.21391104,143.67736832,664.89127936,627.87469312,13.65496832,641.52966144,69.0,3086.0,632109.0,51460.0,1753.370789451,22.5168554277998,1775.8877324078,92.1392251872,1868.026957595,253.5888
2012-08,monthly,287.0,546.1536409864,147.1929885394,693.3466295257999,662.2279742876,12.85378090291,675.08175519051,69.0,3437.0,693070.0,61781.0,1768.7046138141,22.1934995051,1790.8981133192,97.6524540625,1888.5505673817,251.527518162189
2012-09,monthly,287.0,652.7409627875,179.1204925505,831.861455338,685.5157644804,15.20451009586,700.72027457626,71.0,3710.0,777227.0,84928.0,1938.576148274,22.7744211207,1961.3505693947,89.3546955005001,2050.7052648952,263.152935330782
2012-10,monthly,288.0,564.2414427002,149.5902974231,713.8317401232999,752.8751435101,17.2449116643,770.1200551744,71.0,3832.0,838198.0,61691.0,2017.1109067052,23.2361383376,2040.3470450428,111.2368069064,2151.5838519492,257.320423786343
2012-11,monthly,288.0,557.7952160452,232.6405522167,790.4357682619001,747.5869441193,23.92773260994,771.51467672924,71.0,3937.0,905750.0,68578.0,1917.2373424535,24.6571746899,1941.8945171434,132.12,2074.0145171434,247.61
2012-12,monthly,288.0,1258.7608161669,343.7459868179,1602.5068029848,857.0862133822,38.13626273589,895.29891293409,74.0,4060.0,990284.0,85637.0,2500.6394327696,29.7353975513,2530.3748303209,157.9013306038,2688.2761609247,275.605427440986
2013-01,monthly,510.0,1934.7227299345,385.836472364,2320.5592022985,1151.8694527122,45.36244015852,1197.23189287072,74.0,4167.0,1045035.0,56308.0,3112.1884041869,27.0269398539,3139.2153440408,203.4856596839,3342.7010037247,266.52939874415
