ym,last_date,margin_balance_last,margin_balance_max,days_obs,days_expected,coverage,gap_flag,period_end,date_type
2010-03,2010-03-31,741691.0,741691.0,1,23,0.043,,2010-03-31,last_trading_day_month_end
2010-04,2010-04-30,146741749.0,146741749.0,13,22,0.591,,2010-04-30,last_trading_day_month_end
2010-05,2010-05-31,402142024.0,402142024.0,19,21,0.905,,2010-05-31,last_trading_day_month_end
2010-06,2010-06-30,581205442.0,581205442.0,19,22,0.864,,2010-06-30,last_trading_day_month_end
2010-07,2010-07-30,966664935.0,966664935.0,22,22,1.0,,2010-07-31,last_trading_day_month_end
2010-08,2010-08-31,1464160739.0,1464160739.0,22,22,1.0,,2010-08-31,last_trading_day_month_end
2010-09,2010-09-30,1849338450.0,1849338450.0,19,22,0.864,,2010-09-30,last_trading_day_month_end
2010-10,2010-10-29,2668753667.0,2668753667.0,16,21,0.762,,2010-10-31,last_trading_day_month_end
2010-11,2010-11-30,3460445386.0,3494703022.0,22,22,1.0,,2010-11-30,last_trading_day_month_end
2010-12,2010-12-31,4340005021.0,4340005021.0,23,23,1.0,,2010-12-31,last_trading_day_month_end
2011-01,2011-01-31,4814609971.0,4819164280.0,20,21,0.952,,2011-01-31,last_trading_day_month_end
2011-02,2011-02-28,5686527686.0,5686527686.0,15,20,0.75,,2011-02-28,last_trading_day_month_end
2011-03,2011-03-31,7455307999.0,7455307999.0,23,23,1.0,,2011-03-31,last_trading_day_month_end
2011-04,2011-04-29,8547319408.0,8562806963.0,19,21,0.905,,2011-04-30,last_trading_day_month_end
2011-05,2011-05-31,9242209384.0,9242209384.0,21,22,0.955,,2011-05-31,last_trading_day_month_end
2011-06,2011-06-30,10143435396.0,10143435396.0,21,22,0.955,,2011-06-30,last_trading_day_month_end
2011-07,2011-07-29,12497623206.0,12497623206.0,21,21,1.0,,2011-07-31,last_trading_day_month_end
2011-08,2011-08-31,13307138942.0,13328743049.0,23,23,1.0,,2011-08-31,last_trading_day_month_end
2011-09,2011-09-30,12809283754.0,13406156566.0,21,22,0.955,,2011-09-30,last_trading_day_month_end
2011-10,2011-10-31,13376012743.0,13376012743.0,16,21,0.762,,2011-10-31,last_trading_day_month_end
2011-11,2011-11-30,14935672976.0,15048671564.0,22,22,1.0,,2011-11-30,last_trading_day_month_end
2011-12,2011-12-30,14662062537.0,15039305907.0,22,22,1.0,,2011-12-31,last_trading_day_month_end
2012-01,2012-01-31,13264704807.0,14672453636.0,15,22,0.682,,2012-01-31,last_trading_day_month_end
2012-02,2012-02-29,13754643697.0,13754643697.0,21,21,1.0,,2012-02-29,last_trading_day_month_end
2012-03,2012-03-30,15396661524.0,15661354994.0,22,22,1.0,,2012-03-31,last_trading_day_month_end
2012-04,2012-04-27,15878319564.0,16168001721.0,17,21,0.81,,2012-04-30,last_trading_day_month_end
2012-05,2012-05-31,17919457055.0,17919457055.0,22,23,0.957,,2012-05-31,last_trading_day_month_end
2012-06,2012-06-29,18932739938.0,18975143846.0,20,21,0.952,,2012-06-30,last_trading_day_month_end
2012-07,2012-07-31,19923163714.0,20052971584.0,22,22,1.0,,2012-07-31,last_trading_day_month_end
2012-08,2012-08-31,21076004379.0,21099824454.0,23,23,1.0,,2012-08-31,last_trading_day_month_end
2012-09,2012-09-28,21534304199.0,22671805084.0,20,20,1.0,,2012-09-30,last_trading_day_month_end
2012-10,2012-10-31,24374107186.0,24435791210.0,18,23,0.783,,2012-10-31,last_trading_day_month_end
2012-11,2012-11-30,24222658679.0,24593156340.0,22,22,1.0,,2012-11-30,last_trading_day_month_end
2012-12,2012-12-31,27749839448.0,27892934237.0,21,21,1.0,,2012-12-31,last_trading_day_month_end
2013-01,2013-01-31,35149737985.0,35350624811.0,20,23,0.87,,2013-01-31,last_trading_day_month_end
2013-02,2013-02-28,42579382700.0,42579382700.0,15,20,0.75,,2013-02-28,last_trading_day_month_end
2013-03,2013-03-29,49081882357.0,49579790577.0,21,21,1.0,,2013-03-31,last_trading_day_month_end
2013-04,2013-04-26,54277163986.0,55177321048.0,18,22,0.818,,2013-04-30,last_trading_day_month_end
2013-05,2013-05-31,73700755609.0,73700755609.0,22,23,0.957,,2013-05-31,last_trading_day_month_end
2013-06,2013-06-28,74024550183.0,78504350864.0,17,20,0.85,,2013-06-30,last_trading_day_month_end
2013-07,2013-07-31,80476352494.0,80810775900.0,23,23,1.0,,2013-07-31,last_trading_day_month_end
2013-08,2013-08-30,87076301252.0,87527253809.0,22,22,1.0,,2013-08-31,last_trading_day_month_end
2013-09,2013-09-30,96806042739.0,97940082374.0,19,21,0.905,,2013-09-30,last_trading_day_month_end
2013-10,2013-10-31,106439434451.0,107291380633.0,18,23,0.783,,2013-10-31,last_trading_day_month_end
2013-11,2013-11-29,110352917655.0,110362041353.0,21,21,1.0,,2013-11-30,last_trading_day_month_end
2013-12,2013-12-31,116606378259.0,116606378259.0,22,22,1.0,,2013-12-31,last_trading_day_month_end
2014-01,2014-01-30,120120739708.0,122905847147.0,21,23,0.913,,2014-01-31,last_trading_day_month_end
2014-02,2014-02-28,133973205464.0,136095073441.0,16,20,0.8,,2014-02-28,last_trading_day_month_end
2014-03,2014-03-31,134719748618.0,135757568603.0,21,21,1.0,,2014-03-31,last_trading_day_month_end
2014-04,2014-04-30,132769799709.0,137247452488.0,21,22,0.955,,2014-04-30,last_trading_day_month_end
