release_date,reference_period,indicator,value,unit,title,url
2026-08-17,2026-07,工业增加值同比,4.5,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,工业增加值环比,0.11,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,服务业生产指数同比,4.3,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,社零当月(亿元),39022,亿元,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,社零同比,0.6,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,社零季调环比,0.06,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,固投累计(亿元),260328,亿元,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,固投累计同比,-6.7,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,固投季调环比,-1.42,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,基建投资同比,-3.6,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,制造业投资同比,-1.7,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,房地产投资同比,-19.2,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,民间投资同比,-9.4,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,高技术产业投资同比,5.0,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,城镇调查失业率,5.2,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,CPI同比,0.5,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,核心CPI同比,0.9,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,PPI同比(7月份),3.5,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,PPI环比(7月份),-0.7,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,PPIRM同比(7月份),5.5,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,PPIRM环比(7月份),-1.0,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,进出口总额(亿元),46580,亿元,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,进出口同比,19.2,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,出口额(亿元),27125,亿元,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,出口同比,17.8,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,进口额(亿元),19454,亿元,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,进口同比,21.2,%,1—7月份国民经济保持总体平稳、向新向优发展态势,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-06-16,2026-05,工业增加值同比,4.5,%,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-06-16,2026-05,服务业生产指数同比,4.4,%,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-06-16,2026-05,社零当月(亿元),41090,亿元,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-06-16,2026-05,社零同比,-0.6,%,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-06-16,2026-05,固投累计(亿元),178512,亿元,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-06-16,2026-05,固投累计同比,-4.1,%,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-06-16,2026-05,固投季调环比,-1.91,%,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-06-16,2026-05,基建投资同比,0.6,%,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-06-16,2026-05,制造业投资同比,-0.4,%,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-06-16,2026-05,房地产投资同比,-16.2,%,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-06-16,2026-05,民间投资同比,-7.1,%,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-06-16,2026-05,高技术产业投资同比,4.5,%,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-06-16,2026-05,城镇调查失业率,5.1,%,5月份国民经济运行总体平稳、向新向优,https://www.stats.gov.cn/sj/zxfb/202606/t20260616_1963954.html
2026-05-18,2026-04,工业增加值同比,4.1,%,1—4月份国民经济保持稳中有进发展态势,https://www.stats.gov.cn/sj/zxfb/202605/t20260518_1963732.html
2026-05-18,2026-04,工业增加值环比,0.05,%,1—4月份国民经济保持稳中有进发展态势,https://www.stats.gov.cn/sj/zxfb/202605/t20260518_1963732.html
2026-05-18,2026-04,服务业生产指数同比,4.3,%,1—4月份国民经济保持稳中有进发展态势,https://www.stats.gov.cn/sj/zxfb/202605/t20260518_1963732.html
2026-05-18,2026-04,固投累计(亿元),141293,亿元,1—4月份国民经济保持稳中有进发展态势,https://www.stats.gov.cn/sj/zxfb/202605/t20260518_1963732.html
2026-05-18,2026-04,固投累计同比,-1.6,%,1—4月份国民经济保持稳中有进发展态势,https://www.stats.gov.cn/sj/zxfb/202605/t20260518_1963732.html
2026-05-18,2026-04,固投季调环比,-2.36,%,1—4月份国民经济保持稳中有进发展态势,https://www.stats.gov.cn/sj/zxfb/202605/t20260518_1963732.html
