月份,指标,值,url
2017-12,从业人员指数,48.5,PDF提取:2018-2021年12月PMI运行情况报告
2017-12,供应商配送时间指数,49.3,PDF提取:2018-2021年12月PMI运行情况报告
2017-12,制造业PMI,51.6,PDF提取:2018-2021年12月PMI运行情况报告
2017-12,原材料库存指数,48.0,PDF提取:2018-2021年12月PMI运行情况报告
2017-12,新订单指数,53.4,PDF提取:2018-2021年12月PMI运行情况报告
2017-12,生产指数,54.0,PDF提取:2018-2021年12月PMI运行情况报告
2018-01,从业人员指数,48.3,PDF提取:2018-2021年12月PMI运行情况报告
2018-01,供应商配送时间指数,49.2,PDF提取:2018-2021年12月PMI运行情况报告
2018-01,制造业PMI,51.3,PDF提取:2018-2021年12月PMI运行情况报告
2018-01,原材料库存指数,48.8,PDF提取:2018-2021年12月PMI运行情况报告
2018-01,新订单指数,52.6,PDF提取:2018-2021年12月PMI运行情况报告
2018-01,生产指数,53.5,PDF提取:2018-2021年12月PMI运行情况报告
2018-02,从业人员指数,48.1,PDF提取:2018-2021年12月PMI运行情况报告
2018-02,供应商配送时间指数,48.4,PDF提取:2018-2021年12月PMI运行情况报告
2018-02,制造业PMI,50.3,PDF提取:2018-2021年12月PMI运行情况报告
2018-02,原材料库存指数,49.3,PDF提取:2018-2021年12月PMI运行情况报告
2018-02,新订单指数,51.0,PDF提取:2018-2021年12月PMI运行情况报告
2018-02,生产指数,50.7,PDF提取:2018-2021年12月PMI运行情况报告
2018-03,从业人员指数,49.1,PDF提取:2018-2021年12月PMI运行情况报告
2018-03,供应商配送时间指数,50.1,PDF提取:2018-2021年12月PMI运行情况报告
2018-03,制造业PMI,51.5,PDF提取:2018-2021年12月PMI运行情况报告
2018-03,原材料库存指数,49.6,PDF提取:2018-2021年12月PMI运行情况报告
2018-03,新订单指数,53.3,PDF提取:2018-2021年12月PMI运行情况报告
2018-03,生产指数,53.1,PDF提取:2018-2021年12月PMI运行情况报告
2018-04,从业人员指数,49.0,PDF提取:2018-2021年12月PMI运行情况报告
2018-04,供应商配送时间指数,50.2,PDF提取:2018-2021年12月PMI运行情况报告
2018-04,制造业PMI,51.4,PDF提取:2018-2021年12月PMI运行情况报告
2018-04,原材料库存指数,49.5,PDF提取:2018-2021年12月PMI运行情况报告
2018-04,新订单指数,52.9,PDF提取:2018-2021年12月PMI运行情况报告
2018-04,生产指数,53.1,PDF提取:2018-2021年12月PMI运行情况报告
2018-05,从业人员指数,49.1,PDF提取:2018-2021年12月PMI运行情况报告
2018-05,供应商配送时间指数,50.1,PDF提取:2018-2021年12月PMI运行情况报告
2018-05,制造业PMI,51.9,PDF提取:2018-2021年12月PMI运行情况报告
2018-05,原材料库存指数,49.6,PDF提取:2018-2021年12月PMI运行情况报告
2018-05,新订单指数,53.8,PDF提取:2018-2021年12月PMI运行情况报告
2018-05,生产指数,54.1,PDF提取:2018-2021年12月PMI运行情况报告
2018-06,从业人员指数,49.0,PDF提取:2018-2021年12月PMI运行情况报告
2018-06,供应商配送时间指数,50.2,PDF提取:2018-2021年12月PMI运行情况报告
2018-06,制造业PMI,51.5,PDF提取:2018-2021年12月PMI运行情况报告
2018-06,原材料库存指数,48.8,PDF提取:2018-2021年12月PMI运行情况报告
2018-06,新订单指数,53.2,PDF提取:2018-2021年12月PMI运行情况报告
2018-06,生产指数,53.6,PDF提取:2018-2021年12月PMI运行情况报告
2018-07,从业人员指数,49.2,PDF提取:2018-2021年12月PMI运行情况报告
2018-07,供应商配送时间指数,50.0,PDF提取:2018-2021年12月PMI运行情况报告
2018-07,制造业PMI,51.2,PDF提取:2018-2021年12月PMI运行情况报告
2018-07,原材料库存指数,48.9,PDF提取:2018-2021年12月PMI运行情况报告
2018-07,新订单指数,52.3,PDF提取:2018-2021年12月PMI运行情况报告
2018-07,生产指数,53.0,PDF提取:2018-2021年12月PMI运行情况报告
2018-08,从业人员指数,49.4,PDF提取:2018-2021年12月PMI运行情况报告
2018-08,供应商配送时间指数,49.6,PDF提取:2018-2021年12月PMI运行情况报告
2018-08,制造业PMI,51.3,PDF提取:2018-2021年12月PMI运行情况报告
2018-08,原材料库存指数,48.7,PDF提取:2018-2021年12月PMI运行情况报告
2018-08,新订单指数,52.2,PDF提取:2018-2021年12月PMI运行情况报告
2018-08,生产指数,53.3,PDF提取:2018-2021年12月PMI运行情况报告
2018-09,从业人员指数,48.3,PDF提取:2018-2021年12月PMI运行情况报告
2018-09,供应商配送时间指数,49.7,PDF提取:2018-2021年12月PMI运行情况报告
2018-09,制造业PMI,50.8,PDF提取:2018-2021年12月PMI运行情况报告
2018-09,原材料库存指数,47.8,PDF提取:2018-2021年12月PMI运行情况报告
2018-09,新订单指数,52.0,PDF提取:2018-2021年12月PMI运行情况报告
2018-09,生产指数,53.0,PDF提取:2018-2021年12月PMI运行情况报告
2018-10,从业人员指数,48.1,PDF提取:2018-2021年12月PMI运行情况报告
2018-10,供应商配送时间指数,49.5,PDF提取:2018-2021年12月PMI运行情况报告
2018-10,制造业PMI,50.2,PDF提取:2018-2021年12月PMI运行情况报告
2018-10,原材料库存指数,47.2,PDF提取:2018-2021年12月PMI运行情况报告
2018-10,新订单指数,50.8,PDF提取:2018-2021年12月PMI运行情况报告
2018-10,生产指数,52.0,PDF提取:2018-2021年12月PMI运行情况报告
2018-11,从业人员指数,48.3,PDF提取:2018-2021年12月PMI运行情况报告
2018-11,供应商配送时间指数,50.3,PDF提取:2018-2021年12月PMI运行情况报告
