release_date,reference_period,indicator,value,unit,source,url
2026-08-17,2026-07,工业增加值同比(7月),4.5,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,工业增加值环比(7月),0.11,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,服务业生产指数同比(7月),4.3,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,"社零当月(亿元,7月)",39022,亿元,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,社零同比(7月),0.6,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,服务零售同比(1-7月),5.0,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,"固投累计(亿元,1-7月)",260328,亿元,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,固投累计同比(1-7月),-6.7,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,固投季调环比(7月),-1.42,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,基建投资同比(1-7月),-3.6,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,制造业投资同比(1-7月),-1.7,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,房地产投资同比(1-7月),-19.2,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,民间投资同比(1-7月),-9.4,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,高技术产业投资同比(1-7月),5.0,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,"进出口总额(亿元,7月)",46580,亿元,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,进出口同比(7月),19.2,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,"出口额(亿元,7月)",27125,亿元,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,出口同比(7月),17.8,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,"进口额(亿元,7月)",19454,亿元,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,进口同比(7月),21.2,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,城镇调查失业率(7月),5.2,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,CPI同比(7月),0.5,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,核心CPI同比(7月),0.9,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,PPI同比(7月),3.5,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,PPI环比(7月),-0.7,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,PPI累计同比(1-7月),1.8,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,PPIRM同比(7月),5.5,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,PPIRM环比(7月),-1.0,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,PPIRM累计同比(1-7月),2.8,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
2026-08-17,2026-07,社零季调环比(7月),0.06,%,国家统计局,https://www.stats.gov.cn/sj/zxfb/202608/t20260817_1965056.html
