季度,季度末实际交易日,隔夜SHIBOR(%),3个月SHIBOR(%),1年SHIBOR(%),来源,official_status,is_complete_period
2006-Q4,2006-12-31,1.625,2.8082,3.0031,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)","TRIAL(试运行,2006-10-08起)",1
2007-Q1,2007-03-30,1.733,2.8610,3.167,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2007-Q2,2007-06-29,1.8841,3.0868,3.6331,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2007-Q3,2007-09-30,1.761,3.8534,4.3015,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2007-Q4,2007-12-29,2.052,4.4348,4.6738,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2008-Q1,2008-03-31,2.1288,4.4982,4.6644,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2008-Q2,2008-06-30,2.3788,4.4833,4.757,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2008-Q3,2008-09-28,3.25,4.3047,4.398,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2008-Q4,2008-12-31,1.0113,1.7782,2.3411,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2009-Q1,2009-03-31,0.825,1.2241,1.8795,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2009-Q2,2009-06-30,1.1008,1.3179,1.8842,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2009-Q3,2009-09-30,1.3142,1.7687,2.2783,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2009-Q4,2009-12-31,1.2058,1.8319,2.3776,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2010-Q1,2010-03-31,1.4883,1.9419,2.4578,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2010-Q2,2010-06-30,2.2475,2.6308,2.7663,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2010-Q3,2010-09-30,1.785,2.6113,3.0116,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2010-Q4,2010-12-31,4.195,4.6234,4.7801,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2011-Q1,2011-03-31,1.9567,4.1690,4.6548,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2011-Q2,2011-06-30,4.4175,6.3917,5.1581,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2011-Q3,2011-09-30,3.8642,5.6466,5.253,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2011-Q4,2011-12-31,5.0608,5.4691,5.2341,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2012-Q1,2012-03-31,2.4933,4.8832,5.0028,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2012-Q2,2012-06-29,2.8058,4.0778,4.4607,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2012-Q3,2012-09-29,3.125,3.6857,4.394,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2012-Q4,2012-12-31,2.6517,3.8996,4.538,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2013-Q1,2013-03-29,2.404,3.8805,4.428,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2013-Q2,2013-06-28,5.553,5.4390,4.427,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2013-Q3,2013-09-30,3.655,4.6704,4.6465,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2013-Q4,2013-12-31,3.518,5.5565,5.0,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2014-Q1,2014-03-31,2.613,5.5000,5.0,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2014-Q2,2014-06-30,2.505,4.7499,5.0,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2014-Q3,2014-09-30,2.565,4.5445,4.9,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2014-Q4,2014-12-31,3.512,5.1351,4.743,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2015-Q1,2015-03-31,3.328,4.8975,4.735,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2015-Q2,2015-06-30,1.258,3.2330,3.447,"chinamoney官方日度(API+手工xlsx双重确认, 2026-08-26修正)",OFFICIAL,1
2015-Q3,2015-09-30,1.916,3.142,3.387,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2015-Q4,2015-12-31,1.995,3.09,3.345,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2016-Q1,2016-03-31,2.012,2.831,3.047,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2016-Q2,2016-06-30,2.029,2.946,3.05,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2016-Q3,2016-09-30,2.281,2.802,3.0295,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2016-Q4,2016-12-30,2.23,3.2726,3.3733,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2017-Q1,2017-03-31,2.493,4.4172,4.2155,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2017-Q2,2017-06-30,2.607,4.6548,4.4137,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2017-Q3,2017-09-29,2.825,4.3562,4.4039,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2017-Q4,2017-12-29,2.83,4.9133,4.7577,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2018-Q1,2018-03-30,2.686,4.418,4.63,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2018-Q2,2018-06-29,2.551,4.185,4.296,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2018-Q3,2018-09-28,2.457,2.832,3.513,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2018-Q4,2018-12-29,2.554,3.303,3.524,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2019-Q1,2019-03-29,1.831,2.812,3.061,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2019-Q2,2019-06-28,1.408,2.656,3.136,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2019-Q3,2019-09-30,1.488,2.73,3.048,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2019-Q4,2019-12-31,1.694,3.019,3.048,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
2020-Q1,2020-03-31,1.624,1.936,2.433,用户手工抓取(shibor官网季度末值); 本文件核验通过,OFFICIAL,1
