variable_id,primary_source,primary_source_rows,source_count,source_set,merged_std_rows,date_fail,conflicts
cre.new_loan,new_financial_credit.csv,223,1,new_financial_credit.csv,223,0,0
cre.tsf_flow,social_financing_flow.csv,136,1,social_financing_flow.csv,136,0,0
cre.tsf_stock,social_financing_stock_full.csv,132,1,social_financing_stock_full.csv,132,0,0
ext.fdi,em_fdi.csv,43,1,em_fdi.csv,43,0,0
ext.forex_reserve,em_hjwh.csv,223,1,em_hjwh.csv,223,0,0
ext.gold_reserve_value,em_hjwh.csv,223,1,em_hjwh.csv,134,0,0
gold.au9999_q,sge_gold_quarterly_au9999.csv,32,1,sge_gold_quarterly_au9999.csv,32,0,0
gold.sge,gold_sge_canonical.csv,2506,1,gold_sge_canonical.csv,2506,0,0
gov.fiscal_revenue,em_czsr.csv,215,1,em_czsr.csv,207,0,0
gov.tax_revenue_cum,em_qgsssr.csv,84,1,em_qgsssr.csv,84,0,0
gro.enterprise_boom,em_qyjqzs.csv,86,1,em_qyjqzs.csv,85,0,0
gro.export_yoy,macro_exports_yoy.csv,512,2,em_hgjck.csv|macro_exports_yoy.csv,536,0,0
gro.fai_official_cum,nbs_monthly_archive.csv,29,1,nbs_monthly_archive.csv,29,0,0
gro.fai_official_samom,manual_fai_sa_mom.csv,67,1,manual_fai_sa_mom.csv,67,0,0
gro.gdp_abs,macro_gdp_quarterly.csv,82,1,macro_gdp_quarterly.csv,82,0,0
gro.gdp_yoy,macro_gdp_quarterly.csv,82,1,macro_gdp_quarterly.csv,82,0,0
gro.import_yoy,macro_imports_yoy.csv,351,2,em_hgjck.csv|macro_imports_yoy.csv,368,0,0
gro.ip_cum_yoy,macro_industrial_production.csv,204,1,macro_industrial_production.csv,204,0,0
gro.ip_yoy,macro_industrial_production.csv,204,1,macro_industrial_production.csv,192,0,0
gro.pmi,macro_pmi.csv,223,1,macro_pmi.csv,223,0,0
gro.pmi_composite,nbs_pmi_archive.csv,59,1,nbs_pmi_archive.csv,59,0,0
gro.pmi_employment,nbs_pmi_archive.csv,104,1,nbs_pmi_archive.csv,104,0,0
gro.pmi_new_orders,nbs_pmi_archive.csv,104,1,nbs_pmi_archive.csv,104,0,0
gro.pmi_nonmanufacturing,nbs_pmi_archive.csv,59,1,nbs_pmi_archive.csv,59,0,0
gro.pmi_production,nbs_pmi_archive.csv,104,1,nbs_pmi_archive.csv,104,0,0
gro.pmi_raw_material_inventory,nbs_pmi_archive.csv,104,1,nbs_pmi_archive.csv,104,0,0
gro.pmi_supplier_delivery,nbs_pmi_archive.csv,104,1,nbs_pmi_archive.csv,104,0,0
gro.retail_sa_mom,manual_retail_sa_mom.csv,60,1,manual_retail_sa_mom.csv,60,0,0
gro.retail_yoy,macro_retail_sales.csv,208,1,macro_retail_sales.csv,193,0,0
hh.consumer_confidence,em_xfzxx.csv,234,1,em_xfzxx.csv,234,0,0
hh.consumer_satisfaction,em_xfzxx.csv,234,1,em_xfzxx.csv,234,0,0
hh.deposit,manual_deposit_bridge.csv,138,1,manual_deposit_bridge.csv,138,0,0
hh.deposit_hist,money_supply_pboc_detail.csv,583,2,manual_deposit_legacy.csv|money_supply_pboc_detail.csv,122,0,0
hh.income_annual,income_annual_2013_2020.csv,8,1,income_annual_2013_2020.csv,8,0,0
hh.income_quarterly,nbs_income_quarterly.csv,20,1,nbs_income_quarterly.csv,20,0,0
