variable_id,variable_name_cn,variable_role,direct_model_use,canonical_source,source_date_column,source_value_column,series_filter,source_owner,definition_regime,definition_version,economic_block,frequency,unit,reference_period_type,release_rule_code,release_rule_param,release_date_rule,quality_grade,model_tier,status,vintage_status,dependencies,derivation_formula,observed_start,observed_end,special_rules,notes,persistence_policy,max_stale_months,weight_base_regime,acquisition_source,source_computed,pit_eligible,backtest_eligible
mkt.hs300_tri,沪深300全收益(TRI),TARGET_SOURCE,FALSE,hs300_total_return_H00300.csv,日期,收盘,,中证指数官方,H00300_OFFICIAL,v1.1,Market,daily,指数点,交易日,T0_CLOSE,,T+0收盘当日可用,A,Baseline,CANONICAL,CURRENT,,,2008-01-02,2026-08-25,,主因变量TRI; 目标源不直接作特征,MARKET_LAST_VALID,,,,,TRUE,TRUE
mkt.hs300_price,沪深300价格,RAW_FEATURE,FALSE,index_000300_sina.csv,date,close,,新浪财经,SINA_PRICE,v1.1,Market,daily,指数点,交易日,T0_CLOSE,,T+0收盘当日可用,A,Baseline,CANONICAL,CURRENT,,,2008-01-02,2026-08-24,,"用于构造momentum/drawdown, 点位不作predictor",MARKET_LAST_VALID,,,,,TRUE,TRUE
mkt.sh000001,上证综指,RAW_FEATURE,FALSE,index_000001_sina.csv,date,close,,新浪财经,SINA_PRICE,v1.1,Market,daily,指数点,交易日,T0_CLOSE,,T+0,B,Extended,SUPPLEMENTAL,CURRENT,,,2008-01-02,2026-08-24,,宽基参考,MARKET_LAST_VALID,,,,,TRUE,TRUE
mkt.sz399001,深证成指,RAW_FEATURE,FALSE,index_399001_sina.csv,date,close,,新浪财经,SINA_PRICE,v1.1,Market,daily,指数点,交易日,T0_CLOSE,,T+0,B,Extended,SUPPLEMENTAL,CURRENT,,,2008-01-02,2026-08-24,,宽基参考,MARKET_LAST_VALID,,,,,TRUE,TRUE
mkt.000985,中证全指,RAW_FEATURE,FALSE,index_000985_csindex.csv,日期,收盘,,中证指数官方,CSI_OFFICIAL,v1.1,Market,daily,指数点,交易日,T0_CLOSE,,T+0,A,Extended,CANONICAL,CURRENT,,,2008-01-02,2026-08-25,,广义A股宽基价格参考(审计后重建源),MARKET_LAST_VALID,,,,,TRUE,TRUE
mkt.000985_combined,中证全指(旧拼接),AUDIT_ONLY,FALSE,index_000985_combined.csv,date,close,,新浪+腾讯,LEGACY_COMBINED,v1.1,Market,daily,指数点,交易日,T0_CLOSE,,T+0,C,None,LINEAGE_ONLY,CURRENT,,,2011-08-02,2026-08-24,,弃用(空档/OHLC违规/量单位不一致),,,,,,TRUE,TRUE
mkt.000985_sina,中证全指(新浪旧),AUDIT_ONLY,FALSE,index_000985_sina.csv,date,close,,新浪财经,LEGACY_SINA,v1.1,Market,daily,指数点,交易日,T0_CLOSE,,T+0,C,None,LINEAGE_ONLY,CURRENT,,,2011-08-02,2016-06-13,,片段,,,,,,TRUE,TRUE
mkt.hs300_510300,沪深300全收益代理(ETF),RAW_FEATURE,FALSE,hs300_total_return_510300.csv,净值日期,累计净值,,华泰柏瑞,ETF_NAV,v1.1,Market,daily,净值,交易日,T0_CLOSE,,T+0,B,Extended,SUPPLEMENTAL,CURRENT,,,2012-05-04,2026-08-21,,含费口径; ETF核对用不替代H00300,MARKET_LAST_VALID,,,,,TRUE,TRUE
mkt.hs300_volume,沪深300成交量,RAW_FEATURE,FALSE,index_000300_sina.csv,date,volume,,新浪财经,SINA_VOLUME,v1.1,Market,daily,SOURCE_NATIVE待核,交易日,T0_CLOSE,,T+0,B,Extended,SUPPLEMENTAL,CURRENT,,,2008-01-02,2026-08-24,,"字段名volume, 单位待核(勿当成交额/元)",MARKET_LAST_VALID,,,,,TRUE,TRUE
mkt.hs300_momentum,沪深300 12M动量,DERIVED_FEATURE,TRUE,(derived),,,,构造,DERIVED_V1,v1.1,Market,monthly,%,月末,DERIVED_IN_25,,Step2.5构造,B,Extended,CANONICAL,CURRENT,mkt.hs300_price,"pct_change(price,12m)",,,,预登记,,,,,,TRUE,TRUE
